Image ID,ratio,species,uuid,longitude,latitude,date
0aaa44c3-d9d4-4a36-8e2d-ba9eaca4d456,3.043899187,Heteronympha merope,0aaa44c3-d9d4-4a36-8e2d-ba9eaca4d456,145.310159,-37.882771,05/04/2014
0ad86df1-3282-4731-88ed-b0506a5dcc64,2.257548079,Pieris rapae,0ad86df1-3282-4731-88ed-b0506a5dcc64,145.644886,-37.988123,10/01/2022
0b2ce1bc-caa6-4544-986a-744b0d8defa8,3.037059068,Heteronympha merope,0b2ce1bc-caa6-4544-986a-744b0d8defa8,147.704857,-42.964861,05/02/2023
0b318a2d-8bf0-4cdb-898c-b34f21bfef7e,3.104594894,Heteronympha merope,0b318a2d-8bf0-4cdb-898c-b34f21bfef7e,143.997066,-37.689223,04/02/2022
0b7b8bfb-2539-4d3e-bf7d-1d6de708e901,2.278115739,Heteronympha merope,0b7b8bfb-2539-4d3e-bf7d-1d6de708e901,149.186927,-33.481896,30/11/2020
0b9c1ee1-5cda-4ee5-aaa6-cb291bb5766f,3.457046913,Heteronympha merope,0b9c1ee1-5cda-4ee5-aaa6-cb291bb5766f,144.411269,-38.005032,04/01/2023
0bc21736-e5d3-451d-9da1-07b9c99016be,2.041144919,Pieris rapae,0bc21736-e5d3-451d-9da1-07b9c99016be,152.756062,-25.269329,15/01/2023
0c1f759e-458f-4f16-b353-2be6c323bdff,3.595875155,Heteronympha merope,0c1f759e-458f-4f16-b353-2be6c323bdff,149.193357,-35.393848,21/03/2022
0c34a37b-944d-4d3b-a036-b6c292821158,2.909770387,Heteronympha merope,0c34a37b-944d-4d3b-a036-b6c292821158,144.526256,-38.241656,03/01/2021
0cd717ad-0232-4ef9-b8ba-6b07b646f730,2.580661748,Heteronympha merope,0cd717ad-0232-4ef9-b8ba-6b07b646f730,145.944063,-41.067027,09/03/2018
0cffda44-a2d5-4056-94d9-8b6cdbb64031,3.540867315,Heteronympha merope,0cffda44-a2d5-4056-94d9-8b6cdbb64031,149.849634,-36.7305,13/12/2021
0d38edec-482a-42fc-8bb9-0774b7f011e3,4.384494958,Pieris rapae,0d38edec-482a-42fc-8bb9-0774b7f011e3,140.94403,-38.052561,19/03/2020
0d4ce01a-5eda-4312-9af4-0767214548f3,3.024390244,Pieris rapae,0d4ce01a-5eda-4312-9af4-0767214548f3,144.306851,-38.176302,02/10/2020
0d7143fa-8fc4-4908-b81c-0bdb13373a7b,3.253023622,Pieris rapae,0d7143fa-8fc4-4908-b81c-0bdb13373a7b,143.935611,-38.369138,15/03/2020
0d932e9b-76ad-4e42-ad4f-95b396ce1cd8,2.487287359,Heteronympha merope,0d932e9b-76ad-4e42-ad4f-95b396ce1cd8,150.300014,-33.703006,26/12/2022
0dcb9cd0-40df-4bb5-8af4-52d73aab3874,2.188218189,Heteronympha merope,0dcb9cd0-40df-4bb5-8af4-52d73aab3874,145.623337,-37.996197,17/12/2022
0ddc8092-3df5-4c16-b314-230d295a3a3d,2.052173913,Pieris rapae,0ddc8092-3df5-4c16-b314-230d295a3a3d,144.622632,-38.268447,04/06/2023
0de86add-172b-43c9-8abf-0b12855443ec,3.298717641,Heteronympha merope,0de86add-172b-43c9-8abf-0b12855443ec,144.3,-37,28/03/2021
0e4b954e-17c5-4318-93eb-c330782b0fb3,2.768264442,Pieris rapae,0e4b954e-17c5-4318-93eb-c330782b0fb3,144.918224,-37.726361,19/04/2020
0e50d579-6149-4af3-b1ef-e4de0b0ad1f2,2.628949067,Pieris rapae,0e50d579-6149-4af3-b1ef-e4de0b0ad1f2,145.081442,-37.876031,13/09/2020
0e6a8a43-8550-4ab7-b577-d1407cefa2ae,3.374489264,Heteronympha merope,0e6a8a43-8550-4ab7-b577-d1407cefa2ae,145.194554,-37.977441,11/01/2023
0e6a8a43-8550-4ab7-b577-d1407cefa2ae,3.374489264,Heteronympha merope,0e6a8a43-8550-4ab7-b577-d1407cefa2ae,145.194554,-37.977441,11/01/2023
0eb4b788-612e-400b-a769-4217c74de774,3.978682801,Pieris rapae,0eb4b788-612e-400b-a769-4217c74de774,138.616573,-34.904663,24/04/2021
0ee17915-0115-459c-a5f3-a0c66950dfcf,3.985853263,Heteronympha merope,0ee17915-0115-459c-a5f3-a0c66950dfcf,145.285056,-37.718686,04/01/2018
0ef89d60-f51c-497b-a83b-80c3a00fd347,2.322767539,Pieris rapae,0ef89d60-f51c-497b-a83b-80c3a00fd347,144.95703,-37.791947,08/03/2023
0f218811-daa0-411f-9487-79429ee2fd9e,2.134183367,Pieris rapae,0f218811-daa0-411f-9487-79429ee2fd9e,145.855123,-38.135829,17/04/2019
0f2df538-56a9-4b66-b876-3686c69d9a5a,3.723737727,Pieris rapae,0f2df538-56a9-4b66-b876-3686c69d9a5a,149.020136,-35.209407,09/11/2021
0f69b8e4-3ebc-4171-9d09-166172b8d3d0,2.417391304,Pieris rapae,0f69b8e4-3ebc-4171-9d09-166172b8d3d0,145.39,-37.88,22/11/2020
0f9f718e-0aa1-4ceb-94cd-23317c5e77fa,2.395138358,Pieris rapae,0f9f718e-0aa1-4ceb-94cd-23317c5e77fa,145.288368,-37.849963,07/11/2020
0fd52dad-1e35-4301-bbe7-7a4bff8e8947,3.219357554,Heteronympha merope,0fd52dad-1e35-4301-bbe7-7a4bff8e8947,145.256587,-37.62811,28/12/2021
0ff04e3d-0e16-4b2f-a6c1-4efb9a9a9182,2.09702277,Heteronympha merope,0ff04e3d-0e16-4b2f-a6c1-4efb9a9a9182,147.278744,-42.899917,04/05/2023
1006f56b-5c08-4977-a16a-9b5464b06417,2.500357037,Heteronympha merope,1006f56b-5c08-4977-a16a-9b5464b06417,144.425084,-38.128867,02/01/2023
